,petal_width,petal_length,class,type,predicted
59,0.05,1.1,,boundary,Iris-setosa
60,0.05,1.24,,boundary,Iris-setosa
61,0.05,1.38,,boundary,Iris-setosa
62,0.05,1.52,,boundary,Iris-setosa
63,0.05,1.66,,boundary,Iris-setosa
64,0.05,1.79,,boundary,Iris-setosa
65,0.05,1.93,,boundary,Iris-setosa
66,0.05,2.07,,boundary,Iris-setosa
67,0.05,2.21,,boundary,Iris-setosa
68,0.05,2.35,,boundary,Iris-setosa
69,0.05,2.48,,boundary,Iris-setosa
70,0.05,2.62,,boundary,Iris-setosa
71,0.05,2.76,,boundary,Iris-setosa
72,0.05,2.9,,boundary,Iris-setosa
73,0.05,3.04,,boundary,Iris-setosa
74,0.05,3.17,,boundary,Iris-setosa
75,0.05,3.31,,boundary,Iris-versicolor
76,0.05,3.45,,boundary,Iris-versicolor
77,0.05,3.59,,boundary,Iris-versicolor
78,0.05,3.73,,boundary,Iris-versicolor
79,0.05,3.86,,boundary,Iris-versicolor
80,0.05,4.0,,boundary,Iris-versicolor
81,0.05,4.14,,boundary,Iris-versicolor
82,0.05,4.28,,boundary,Iris-versicolor
83,0.05,4.42,,boundary,Iris-versicolor
84,0.05,4.55,,boundary,Iris-versicolor
85,0.05,4.69,,boundary,Iris-versicolor
86,0.05,4.83,,boundary,Iris-versicolor
87,0.05,4.97,,boundary,Iris-versicolor
88,0.05,5.11,,boundary,Iris-versicolor
89,0.05,5.24,,boundary,Iris-versicolor
90,0.05,5.38,,boundary,Iris-versicolor
91,0.05,5.52,,boundary,Iris-versicolor
92,0.05,5.66,,boundary,Iris-versicolor
93,0.05,5.8,,boundary,Iris-versicolor
94,0.05,5.93,,boundary,Iris-versicolor
95,0.05,6.07,,boundary,Iris-virginica
96,0.05,6.21,,boundary,Iris-virginica
97,0.05,6.35,,boundary,Iris-virginica
98,0.05,6.49,,boundary,Iris-virginica
99,0.05,6.62,,boundary,Iris-virginica
100,0.05,6.76,,boundary,Iris-virginica
101,0.05,6.9,,boundary,Iris-virginica
102,0.1,0.0,,boundary,Iris-setosa
103,0.1,0.14,,boundary,Iris-setosa
104,0.1,0.28,,boundary,Iris-setosa
105,0.1,0.41,,boundary,Iris-setosa
106,0.1,0.55,,boundary,Iris-setosa
107,0.1,0.69,,boundary,Iris-setosa
108,0.1,0.83,,boundary,Iris-setosa
109,0.1,0.97,,boundary,Iris-setosa
110,0.1,1.1,,boundary,Iris-setosa
111,0.1,1.24,,boundary,Iris-setosa
112,0.1,1.38,,boundary,Iris-setosa
113,0.1,1.52,,boundary,Iris-setosa
114,0.1,1.66,,boundary,Iris-setosa
115,0.1,1.79,,boundary,Iris-setosa
116,0.1,1.93,,boundary,Iris-setosa
117,0.1,2.07,,boundary,Iris-setosa
118,0.1,2.21,,boundary,Iris-setosa
119,0.1,2.35,,boundary,Iris-setosa
120,0.1,2.48,,boundary,Iris-setosa
121,0.1,2.62,,boundary,Iris-setosa
122,0.1,2.76,,boundary,Iris-setosa
123,0.1,2.9,,boundary,Iris-setosa
124,0.1,3.04,,boundary,Iris-setosa
125,0.1,3.17,,boundary,Iris-setosa
126,0.1,3.31,,boundary,Iris-versicolor
127,0.1,3.45,,boundary,Iris-versicolor
128,0.1,3.59,,boundary,Iris-versicolor
129,0.1,3.73,,boundary,Iris-versicolor
130,0.1,3.86,,boundary,Iris-versicolor
131,0.1,4.0,,boundary,Iris-versicolor
132,0.1,4.14,,boundary,Iris-versicolor
133,0.1,4.28,,boundary,Iris-versicolor
134,0.1,4.42,,boundary,Iris-versicolor
135,0.1,4.55,,boundary,Iris-versicolor
136,0.1,4.69,,boundary,Iris-versicolor
137,0.1,4.83,,boundary,Iris-versicolor
138,0.1,4.97,,boundary,Iris-versicolor
139,0.1,5.11,,boundary,Iris-versicolor
140,0.1,5.24,,boundary,Iris-versicolor
141,0.1,5.38,,boundary,Iris-versicolor
142,0.1,5.52,,boundary,Iris-versicolor
143,0.1,5.66,,boundary,Iris-versicolor
144,0.1,5.8,,boundary,Iris-versicolor
145,0.1,5.93,,boundary,Iris-versicolor
146,0.1,6.07,,boundary,Iris-virginica
147,0.1,6.21,,boundary,Iris-virginica
148,0.1,6.35,,boundary,Iris-virginica
149,0.1,6.49,,boundary,Iris-virginica
150,0.1,6.62,,boundary,Iris-virginica
151,0.1,6.76,,boundary,Iris-virginica
152,0.1,6.9,,boundary,Iris-virginica
153,0.15,0.0,,boundary,Iris-setosa
154,0.15,0.14,,boundary,Iris-setosa
155,0.15,0.28,,boundary,Iris-setosa
156,0.15,0.41,,boundary,Iris-setosa
157,0.15,0.55,,boundary,Iris-setosa
158,0.15,0.69,,boundary,Iris-setosa
159,0.15,0.83,,boundary,Iris-setosa
160,0.15,0.97,,boundary,Iris-setosa
161,0.15,1.1,,boundary,Iris-setosa
162,0.15,1.24,,boundary,Iris-setosa
163,0.15,1.38,,boundary,Iris-setosa
164,0.15,1.52,,boundary,Iris-setosa
165,0.15,1.66,,boundary,Iris-setosa
166,0.15,1.79,,boundary,Iris-setosa
167,0.15,1.93,,boundary,Iris-setosa
168,0.15,2.07,,boundary,Iris-setosa
169,0.15,2.21,,boundary,Iris-setosa
170,0.15,2.35,,boundary,Iris-setosa
171,0.15,2.48,,boundary,Iris-setosa
172,0.15,2.62,,boundary,Iris-setosa
173,0.15,2.76,,boundary,Iris-setosa
174,0.15,2.9,,boundary,Iris-setosa
175,0.15,3.04,,boundary,Iris-setosa
176,0.15,3.17,,boundary,Iris-setosa
177,0.15,3.31,,boundary,Iris-versicolor
178,0.15,3.45,,boundary,Iris-versicolor
179,0.15,3.59,,boundary,Iris-versicolor
180,0.15,3.73,,boundary,Iris-versicolor
181,0.15,3.86,,boundary,Iris-versicolor
182,0.15,4.0,,boundary,Iris-versicolor
183,0.15,4.14,,boundary,Iris-versicolor
184,0.15,4.28,,boundary,Iris-versicolor
185,0.15,4.42,,boundary,Iris-versicolor
186,0.15,4.55,,boundary,Iris-versicolor
187,0.15,4.69,,boundary,Iris-versicolor
188,0.15,4.83,,boundary,Iris-versicolor
189,0.15,4.97,,boundary,Iris-versicolor
190,0.15,5.11,,boundary,Iris-versicolor
191,0.15,5.24,,boundary,Iris-versicolor
192,0.15,5.38,,boundary,Iris-versicolor
193,0.15,5.52,,boundary,Iris-versicolor
194,0.15,5.66,,boundary,Iris-versicolor
195,0.15,5.8,,boundary,Iris-versicolor
196,0.15,5.93,,boundary,Iris-virginica
197,0.15,6.07,,boundary,Iris-virginica
198,0.15,6.21,,boundary,Iris-virginica
199,0.15,6.35,,boundary,Iris-virginica
200,0.15,6.49,,boundary,Iris-virginica
201,0.15,6.62,,boundary,Iris-virginica
202,0.15,6.76,,boundary,Iris-virginica
203,0.15,6.9,,boundary,Iris-virginica
204,0.2,0.0,,boundary,Iris-setosa
205,0.2,0.14,,boundary,Iris-setosa
206,0.2,0.28,,boundary,Iris-setosa
207,0.2,0.41,,boundary,Iris-setosa
208,0.2,0.55,,boundary,Iris-setosa
209,0.2,0.69,,boundary,Iris-setosa
210,0.2,0.83,,boundary,Iris-setosa
211,0.2,0.97,,boundary,Iris-setosa
212,0.2,1.1,,boundary,Iris-setosa
213,0.2,1.24,,boundary,Iris-setosa
214,0.2,1.38,,boundary,Iris-setosa
215,0.2,1.52,,boundary,Iris-setosa
216,0.2,1.66,,boundary,Iris-setosa
217,0.2,1.79,,boundary,Iris-setosa
218,0.2,1.93,,boundary,Iris-setosa
219,0.2,2.07,,boundary,Iris-setosa
220,0.2,2.21,,boundary,Iris-setosa
221,0.2,2.35,,boundary,Iris-setosa
222,0.2,2.48,,boundary,Iris-setosa
223,0.2,2.62,,boundary,Iris-setosa
224,0.2,2.76,,boundary,Iris-setosa
225,0.2,2.9,,boundary,Iris-setosa
226,0.2,3.04,,boundary,Iris-setosa
227,0.2,3.17,,boundary,Iris-setosa
228,0.2,3.31,,boundary,Iris-versicolor
229,0.2,3.45,,boundary,Iris-versicolor
230,0.2,3.59,,boundary,Iris-versicolor
231,0.2,3.73,,boundary,Iris-versicolor
232,0.2,3.86,,boundary,Iris-versicolor
233,0.2,4.0,,boundary,Iris-versicolor
234,0.2,4.14,,boundary,Iris-versicolor
235,0.2,4.28,,boundary,Iris-versicolor
236,0.2,4.42,,boundary,Iris-versicolor
237,0.2,4.55,,boundary,Iris-versicolor
238,0.2,4.69,,boundary,Iris-versicolor
239,0.2,4.83,,boundary,Iris-versicolor
240,0.2,4.97,,boundary,Iris-versicolor
241,0.2,5.11,,boundary,Iris-versicolor
242,0.2,5.24,,boundary,Iris-versicolor
243,0.2,5.38,,boundary,Iris-versicolor
244,0.2,5.52,,boundary,Iris-versicolor
245,0.2,5.66,,boundary,Iris-versicolor
246,0.2,5.8,,boundary,Iris-versicolor
247,0.2,5.93,,boundary,Iris-virginica
248,0.2,6.07,,boundary,Iris-virginica
249,0.2,6.21,,boundary,Iris-virginica
250,0.2,6.35,,boundary,Iris-virginica
251,0.2,6.49,,boundary,Iris-virginica
252,0.2,6.62,,boundary,Iris-virginica
253,0.2,6.76,,boundary,Iris-virginica
254,0.2,6.9,,boundary,Iris-virginica
255,0.25,0.0,,boundary,Iris-setosa
256,0.25,0.14,,boundary,Iris-setosa
257,0.25,0.28,,boundary,Iris-setosa
258,0.25,0.41,,boundary,Iris-setosa
259,0.25,0.55,,boundary,Iris-setosa
260,0.25,0.69,,boundary,Iris-setosa
261,0.25,0.83,,boundary,Iris-setosa
262,0.25,0.97,,boundary,Iris-setosa
263,0.25,1.1,,boundary,Iris-setosa
264,0.25,1.24,,boundary,Iris-setosa
265,0.25,1.38,,boundary,Iris-setosa
266,0.25,1.52,,boundary,Iris-setosa
267,0.25,1.66,,boundary,Iris-setosa
268,0.25,1.79,,boundary,Iris-setosa
269,0.25,1.93,,boundary,Iris-setosa
270,0.25,2.07,,boundary,Iris-setosa
271,0.25,2.21,,boundary,Iris-setosa
272,0.25,2.35,,boundary,Iris-setosa
273,0.25,2.48,,boundary,Iris-setosa
274,0.25,2.62,,boundary,Iris-setosa
275,0.25,2.76,,boundary,Iris-setosa
276,0.25,2.9,,boundary,Iris-setosa
277,0.25,3.04,,boundary,Iris-setosa
278,0.25,3.17,,boundary,Iris-setosa
279,0.25,3.31,,boundary,Iris-versicolor
280,0.25,3.45,,boundary,Iris-versicolor
281,0.25,3.59,,boundary,Iris-versicolor
282,0.25,3.73,,boundary,Iris-versicolor
283,0.25,3.86,,boundary,Iris-versicolor
284,0.25,4.0,,boundary,Iris-versicolor
285,0.25,4.14,,boundary,Iris-versicolor
286,0.25,4.28,,boundary,Iris-versicolor
287,0.25,4.42,,boundary,Iris-versicolor
288,0.25,4.55,,boundary,Iris-versicolor
289,0.25,4.69,,boundary,Iris-versicolor
290,0.25,4.83,,boundary,Iris-versicolor
291,0.25,4.97,,boundary,Iris-versicolor
292,0.25,5.11,,boundary,Iris-versicolor
293,0.25,5.24,,boundary,Iris-versicolor
294,0.25,5.38,,boundary,Iris-versicolor
295,0.25,5.52,,boundary,Iris-versicolor
296,0.25,5.66,,boundary,Iris-versicolor
297,0.25,5.8,,boundary,Iris-versicolor
298,0.25,5.93,,boundary,Iris-virginica
299,0.25,6.07,,boundary,Iris-virginica
300,0.25,6.21,,boundary,Iris-virginica
301,0.25,6.35,,boundary,Iris-virginica
302,0.25,6.49,,boundary,Iris-virginica
303,0.25,6.62,,boundary,Iris-virginica
304,0.25,6.76,,boundary,Iris-virginica
305,0.25,6.9,,boundary,Iris-virginica
306,0.3,0.0,,boundary,Iris-setosa
307,0.3,0.14,,boundary,Iris-setosa
308,0.3,0.28,,boundary,Iris-setosa
309,0.3,0.41,,boundary,Iris-setosa
310,0.3,0.55,,boundary,Iris-setosa
311,0.3,0.69,,boundary,Iris-setosa
312,0.3,0.83,,boundary,Iris-setosa
313,0.3,0.97,,boundary,Iris-setosa
314,0.3,1.1,,boundary,Iris-setosa
315,0.3,1.24,,boundary,Iris-setosa
316,0.3,1.38,,boundary,Iris-setosa
317,0.3,1.52,,boundary,Iris-setosa
318,0.3,1.66,,boundary,Iris-setosa
319,0.3,1.79,,boundary,Iris-setosa
320,0.3,1.93,,boundary,Iris-setosa
321,0.3,2.07,,boundary,Iris-setosa
322,0.3,2.21,,boundary,Iris-setosa
323,0.3,2.35,,boundary,Iris-setosa
324,0.3,2.48,,boundary,Iris-setosa
325,0.3,2.62,,boundary,Iris-setosa
326,0.3,2.76,,boundary,Iris-setosa
327,0.3,2.9,,boundary,Iris-setosa
328,0.3,3.04,,boundary,Iris-setosa
329,0.3,3.17,,boundary,Iris-versicolor
330,0.3,3.31,,boundary,Iris-versicolor
331,0.3,3.45,,boundary,Iris-versicolor
332,0.3,3.59,,boundary,Iris-versicolor
333,0.3,3.73,,boundary,Iris-versicolor
334,0.3,3.86,,boundary,Iris-versicolor
335,0.3,4.0,,boundary,Iris-versicolor
336,0.3,4.14,,boundary,Iris-versicolor
337,0.3,4.28,,boundary,Iris-versicolor
338,0.3,4.42,,boundary,Iris-versicolor
339,0.3,4.55,,boundary,Iris-versicolor
340,0.3,4.69,,boundary,Iris-versicolor
341,0.3,4.83,,boundary,Iris-versicolor
342,0.3,4.97,,boundary,Iris-versicolor
343,0.3,5.11,,boundary,Iris-versicolor
344,0.3,5.24,,boundary,Iris-versicolor
345,0.3,5.38,,boundary,Iris-versicolor
346,0.3,5.52,,boundary,Iris-versicolor
347,0.3,5.66,,boundary,Iris-versicolor
348,0.3,5.8,,boundary,Iris-versicolor
349,0.3,5.93,,boundary,Iris-virginica
350,0.3,6.07,,boundary,Iris-virginica
351,0.3,6.21,,boundary,Iris-virginica
352,0.3,6.35,,boundary,Iris-virginica
353,0.3,6.49,,boundary,Iris-virginica
354,0.3,6.62,,boundary,Iris-virginica
355,0.3,6.76,,boundary,Iris-virginica
356,0.3,6.9,,boundary,Iris-virginica
357,0.35,0.0,,boundary,Iris-setosa
358,0.35,0.14,,boundary,Iris-setosa
359,0.35,0.28,,boundary,Iris-setosa
360,0.35,0.41,,boundary,Iris-setosa
361,0.35,0.55,,boundary,Iris-setosa
362,0.35,0.69,,boundary,Iris-setosa
363,0.35,0.83,,boundary,Iris-setosa
364,0.35,0.97,,boundary,Iris-setosa
365,0.35,1.1,,boundary,Iris-setosa
366,0.35,1.24,,boundary,Iris-setosa
367,0.35,1.38,,boundary,Iris-setosa
368,0.35,1.52,,boundary,Iris-setosa
369,0.35,1.66,,boundary,Iris-setosa
370,0.35,1.79,,boundary,Iris-setosa
371,0.35,1.93,,boundary,Iris-setosa
372,0.35,2.07,,boundary,Iris-setosa
373,0.35,2.21,,boundary,Iris-setosa
374,0.35,2.35,,boundary,Iris-setosa
375,0.35,2.48,,boundary,Iris-setosa
376,0.35,2.62,,boundary,Iris-setosa
377,0.35,2.76,,boundary,Iris-setosa
378,0.35,2.9,,boundary,Iris-setosa
379,0.35,3.04,,boundary,Iris-setosa
380,0.35,3.17,,boundary,Iris-versicolor
381,0.35,3.31,,boundary,Iris-versicolor
382,0.35,3.45,,boundary,Iris-versicolor
383,0.35,3.59,,boundary,Iris-versicolor
384,0.35,3.73,,boundary,Iris-versicolor
385,0.35,3.86,,boundary,Iris-versicolor
386,0.35,4.0,,boundary,Iris-versicolor
387,0.35,4.14,,boundary,Iris-versicolor
388,0.35,4.28,,boundary,Iris-versicolor
389,0.35,4.42,,boundary,Iris-versicolor
390,0.35,4.55,,boundary,Iris-versicolor
391,0.35,4.69,,boundary,Iris-versicolor
392,0.35,4.83,,boundary,Iris-versicolor
393,0.35,4.97,,boundary,Iris-versicolor
394,0.35,5.11,,boundary,Iris-versicolor
395,0.35,5.24,,boundary,Iris-versicolor
396,0.35,5.38,,boundary,Iris-versicolor
397,0.35,5.52,,boundary,Iris-versicolor
398,0.35,5.66,,boundary,Iris-versicolor
399,0.35,5.8,,boundary,Iris-versicolor
400,0.35,5.93,,boundary,Iris-virginica
401,0.35,6.07,,boundary,Iris-virginica
402,0.35,6.21,,boundary,Iris-virginica
403,0.35,6.35,,boundary,Iris-virginica
404,0.35,6.49,,boundary,Iris-virginica
405,0.35,6.62,,boundary,Iris-virginica
406,0.35,6.76,,boundary,Iris-virginica
407,0.35,6.9,,boundary,Iris-virginica
408,0.4,0.0,,boundary,Iris-setosa
409,0.4,0.14,,boundary,Iris-setosa
410,0.4,0.28,,boundary,Iris-setosa
411,0.4,0.41,,boundary,Iris-setosa
412,0.4,0.55,,boundary,Iris-setosa
413,0.4,0.69,,boundary,Iris-setosa
414,0.4,0.83,,boundary,Iris-setosa
415,0.4,0.97,,boundary,Iris-setosa
416,0.4,1.1,,boundary,Iris-setosa
417,0.4,1.24,,boundary,Iris-setosa
418,0.4,1.38,,boundary,Iris-setosa
419,0.4,1.52,,boundary,Iris-setosa
420,0.4,1.66,,boundary,Iris-setosa
421,0.4,1.79,,boundary,Iris-setosa
422,0.4,1.93,,boundary,Iris-setosa
423,0.4,2.07,,boundary,Iris-setosa
424,0.4,2.21,,boundary,Iris-setosa
425,0.4,2.35,,boundary,Iris-setosa
426,0.4,2.48,,boundary,Iris-setosa
427,0.4,2.62,,boundary,Iris-setosa
428,0.4,2.76,,boundary,Iris-setosa
429,0.4,2.9,,boundary,Iris-setosa
430,0.4,3.04,,boundary,Iris-setosa
431,0.4,3.17,,boundary,Iris-versicolor
432,0.4,3.31,,boundary,Iris-versicolor
433,0.4,3.45,,boundary,Iris-versicolor
434,0.4,3.59,,boundary,Iris-versicolor
435,0.4,3.73,,boundary,Iris-versicolor
436,0.4,3.86,,boundary,Iris-versicolor
437,0.4,4.0,,boundary,Iris-versicolor
438,0.4,4.14,,boundary,Iris-versicolor
439,0.4,4.28,,boundary,Iris-versicolor
440,0.4,4.42,,boundary,Iris-versicolor
441,0.4,4.55,,boundary,Iris-versicolor
442,0.4,4.69,,boundary,Iris-versicolor
443,0.4,4.83,,boundary,Iris-versicolor
444,0.4,4.97,,boundary,Iris-versicolor
445,0.4,5.11,,boundary,Iris-versicolor
446,0.4,5.24,,boundary,Iris-versicolor
447,0.4,5.38,,boundary,Iris-versicolor
448,0.4,5.52,,boundary,Iris-versicolor
449,0.4,5.66,,boundary,Iris-versicolor
450,0.4,5.8,,boundary,Iris-virginica
451,0.4,5.93,,boundary,Iris-virginica
452,0.4,6.07,,boundary,Iris-virginica
453,0.4,6.21,,boundary,Iris-virginica
454,0.4,6.35,,boundary,Iris-virginica
455,0.4,6.49,,boundary,Iris-virginica
456,0.4,6.62,,boundary,Iris-virginica
457,0.4,6.76,,boundary,Iris-virginica
458,0.4,6.9,,boundary,Iris-virginica
459,0.45,0.0,,boundary,Iris-setosa
460,0.45,0.14,,boundary,Iris-setosa
461,0.45,0.28,,boundary,Iris-setosa
462,0.45,0.41,,boundary,Iris-setosa
463,0.45,0.55,,boundary,Iris-setosa
464,0.45,0.69,,boundary,Iris-setosa
465,0.45,0.83,,boundary,Iris-setosa
466,0.45,0.97,,boundary,Iris-setosa
467,0.45,1.1,,boundary,Iris-setosa
468,0.45,1.24,,boundary,Iris-setosa
469,0.45,1.38,,boundary,Iris-setosa
470,0.45,1.52,,boundary,Iris-setosa
471,0.45,1.66,,boundary,Iris-setosa
472,0.45,1.79,,boundary,Iris-setosa
473,0.45,1.93,,boundary,Iris-setosa
474,0.45,2.07,,boundary,Iris-setosa
475,0.45,2.21,,boundary,Iris-setosa
476,0.45,2.35,,boundary,Iris-setosa
477,0.45,2.48,,boundary,Iris-setosa
478,0.45,2.62,,boundary,Iris-setosa
479,0.45,2.76,,boundary,Iris-setosa
480,0.45,2.9,,boundary,Iris-setosa
481,0.45,3.04,,boundary,Iris-setosa
482,0.45,3.17,,boundary,Iris-versicolor
483,0.45,3.31,,boundary,Iris-versicolor
484,0.45,3.45,,boundary,Iris-versicolor
485,0.45,3.59,,boundary,Iris-versicolor
486,0.45,3.73,,boundary,Iris-versicolor
487,0.45,3.86,,boundary,Iris-versicolor
488,0.45,4.0,,boundary,Iris-versicolor
489,0.45,4.14,,boundary,Iris-versicolor
490,0.45,4.28,,boundary,Iris-versicolor
491,0.45,4.42,,boundary,Iris-versicolor
492,0.45,4.55,,boundary,Iris-versicolor
493,0.45,4.69,,boundary,Iris-versicolor
494,0.45,4.83,,boundary,Iris-versicolor
495,0.45,4.97,,boundary,Iris-versicolor
496,0.45,5.11,,boundary,Iris-versicolor
497,0.45,5.24,,boundary,Iris-versicolor
498,0.45,5.38,,boundary,Iris-versicolor
499,0.45,5.52,,boundary,Iris-versicolor
500,0.45,5.66,,boundary,Iris-versicolor
501,0.45,5.8,,boundary,Iris-virginica
502,0.45,5.93,,boundary,Iris-virginica
503,0.45,6.07,,boundary,Iris-virginica
504,0.45,6.21,,boundary,Iris-virginica
505,0.45,6.35,,boundary,Iris-virginica
506,0.45,6.49,,boundary,Iris-virginica
507,0.45,6.62,,boundary,Iris-virginica
508,0.45,6.76,,boundary,Iris-virginica
509,0.45,6.9,,boundary,Iris-virginica
510,0.5,0.0,,boundary,Iris-setosa
511,0.5,0.14,,boundary,Iris-setosa
512,0.5,0.28,,boundary,Iris-setosa
513,0.5,0.41,,boundary,Iris-setosa
514,0.5,0.55,,boundary,Iris-setosa
515,0.5,0.69,,boundary,Iris-setosa
516,0.5,0.83,,boundary,Iris-setosa
517,0.5,0.97,,boundary,Iris-setosa
518,0.5,1.1,,boundary,Iris-setosa
519,0.5,1.24,,boundary,Iris-setosa
520,0.5,1.38,,boundary,Iris-setosa
521,0.5,1.52,,boundary,Iris-setosa
522,0.5,1.66,,boundary,Iris-setosa
523,0.5,1.79,,boundary,Iris-setosa
524,0.5,1.93,,boundary,Iris-setosa
525,0.5,2.07,,boundary,Iris-setosa
526,0.5,2.21,,boundary,Iris-setosa
527,0.5,2.35,,boundary,Iris-setosa
528,0.5,2.48,,boundary,Iris-setosa
529,0.5,2.62,,boundary,Iris-setosa
530,0.5,2.76,,boundary,Iris-setosa
531,0.5,2.9,,boundary,Iris-setosa
532,0.5,3.04,,boundary,Iris-setosa
533,0.5,3.17,,boundary,Iris-versicolor
534,0.5,3.31,,boundary,Iris-versicolor
535,0.5,3.45,,boundary,Iris-versicolor
536,0.5,3.59,,boundary,Iris-versicolor
537,0.5,3.73,,boundary,Iris-versicolor
538,0.5,3.86,,boundary,Iris-versicolor
539,0.5,4.0,,boundary,Iris-versicolor
540,0.5,4.14,,boundary,Iris-versicolor
541,0.5,4.28,,boundary,Iris-versicolor
542,0.5,4.42,,boundary,Iris-versicolor
543,0.5,4.55,,boundary,Iris-versicolor
544,0.5,4.69,,boundary,Iris-versicolor
545,0.5,4.83,,boundary,Iris-versicolor
546,0.5,4.97,,boundary,Iris-versicolor
547,0.5,5.11,,boundary,Iris-versicolor
548,0.5,5.24,,boundary,Iris-versicolor
549,0.5,5.38,,boundary,Iris-versicolor
550,0.5,5.52,,boundary,Iris-versicolor
551,0.5,5.66,,boundary,Iris-versicolor
552,0.5,5.8,,boundary,Iris-virginica
553,0.5,5.93,,boundary,Iris-virginica
554,0.5,6.07,,boundary,Iris-virginica
555,0.5,6.21,,boundary,Iris-virginica
556,0.5,6.35,,boundary,Iris-virginica
557,0.5,6.49,,boundary,Iris-virginica
558,0.5,6.62,,boundary,Iris-virginica
559,0.5,6.76,,boundary,Iris-virginica
560,0.5,6.9,,boundary,Iris-virginica
561,0.55,0.0,,boundary,Iris-setosa
562,0.55,0.14,,boundary,Iris-setosa
563,0.55,0.28,,boundary,Iris-setosa
564,0.55,0.41,,boundary,Iris-setosa
565,0.55,0.55,,boundary,Iris-setosa
566,0.55,0.69,,boundary,Iris-setosa
567,0.55,0.83,,boundary,Iris-setosa
568,0.55,0.97,,boundary,Iris-setosa
569,0.55,1.1,,boundary,Iris-setosa
570,0.55,1.24,,boundary,Iris-setosa
571,0.55,1.38,,boundary,Iris-setosa
572,0.55,1.52,,boundary,Iris-setosa
573,0.55,1.66,,boundary,Iris-setosa
574,0.55,1.79,,boundary,Iris-setosa
575,0.55,1.93,,boundary,Iris-setosa
576,0.55,2.07,,boundary,Iris-setosa
577,0.55,2.21,,boundary,Iris-setosa
578,0.55,2.35,,boundary,Iris-setosa
579,0.55,2.48,,boundary,Iris-setosa
580,0.55,2.62,,boundary,Iris-setosa
581,0.55,2.76,,boundary,Iris-setosa
582,0.55,2.9,,boundary,Iris-setosa
583,0.55,3.04,,boundary,Iris-setosa
584,0.55,3.17,,boundary,Iris-versicolor
585,0.55,3.31,,boundary,Iris-versicolor
586,0.55,3.45,,boundary,Iris-versicolor
587,0.55,3.59,,boundary,Iris-versicolor
588,0.55,3.73,,boundary,Iris-versicolor
589,0.55,3.86,,boundary,Iris-versicolor
590,0.55,4.0,,boundary,Iris-versicolor
591,0.55,4.14,,boundary,Iris-versicolor
592,0.55,4.28,,boundary,Iris-versicolor
593,0.55,4.42,,boundary,Iris-versicolor
594,0.55,4.55,,boundary,Iris-versicolor
595,0.55,4.69,,boundary,Iris-versicolor
596,0.55,4.83,,boundary,Iris-versicolor
