,petal_width,petal_length,class,type,predicted
45,0.0,3.1,,boundary,Iris-versicolor
46,0.0,3.17,,boundary,Iris-versicolor
47,0.0,3.24,,boundary,Iris-versicolor
48,0.0,3.31,,boundary,Iris-versicolor
49,0.0,3.38,,boundary,Iris-versicolor
50,0.0,3.45,,boundary,Iris-versicolor
51,0.0,3.52,,boundary,Iris-versicolor
52,0.0,3.59,,boundary,Iris-versicolor
53,0.0,3.66,,boundary,Iris-versicolor
54,0.0,3.73,,boundary,Iris-versicolor
55,0.0,3.79,,boundary,Iris-versicolor
56,0.0,3.86,,boundary,Iris-versicolor
57,0.0,3.93,,boundary,Iris-versicolor
58,0.0,4.0,,boundary,Iris-versicolor
59,0.0,4.07,,boundary,Iris-versicolor
60,0.0,4.14,,boundary,Iris-versicolor
61,0.0,4.21,,boundary,Iris-versicolor
62,0.0,4.28,,boundary,Iris-versicolor
63,0.0,4.35,,boundary,Iris-versicolor
64,0.0,4.42,,boundary,Iris-versicolor
65,0.0,4.48,,boundary,Iris-versicolor
66,0.0,4.55,,boundary,Iris-versicolor
67,0.0,4.62,,boundary,Iris-versicolor
68,0.0,4.69,,boundary,Iris-versicolor
69,0.0,4.76,,boundary,Iris-versicolor
70,0.0,4.83,,boundary,Iris-versicolor
71,0.0,4.9,,boundary,Iris-versicolor
72,0.0,4.97,,boundary,Iris-versicolor
73,0.0,5.04,,boundary,Iris-versicolor
74,0.0,5.11,,boundary,Iris-versicolor
75,0.0,5.17,,boundary,Iris-versicolor
76,0.0,5.24,,boundary,Iris-versicolor
77,0.0,5.31,,boundary,Iris-versicolor
78,0.0,5.38,,boundary,Iris-versicolor
79,0.0,5.45,,boundary,Iris-versicolor
80,0.0,5.52,,boundary,Iris-versicolor
81,0.0,5.59,,boundary,Iris-versicolor
82,0.0,5.66,,boundary,Iris-versicolor
83,0.0,5.73,,boundary,Iris-versicolor
84,0.0,5.8,,boundary,Iris-versicolor
85,0.0,5.86,,boundary,Iris-versicolor
86,0.0,5.93,,boundary,Iris-virginica
87,0.0,6.0,,boundary,Iris-virginica
88,0.0,6.07,,boundary,Iris-virginica
89,0.0,6.14,,boundary,Iris-virginica
90,0.0,6.21,,boundary,Iris-virginica
91,0.0,6.28,,boundary,Iris-virginica
92,0.0,6.35,,boundary,Iris-virginica
93,0.0,6.42,,boundary,Iris-virginica
94,0.0,6.49,,boundary,Iris-virginica
95,0.0,6.55,,boundary,Iris-virginica
96,0.0,6.62,,boundary,Iris-virginica
97,0.0,6.69,,boundary,Iris-virginica
98,0.0,6.76,,boundary,Iris-virginica
99,0.0,6.83,,boundary,Iris-virginica
100,0.0,6.9,,boundary,Iris-virginica
101,0.03,0.0,,boundary,Iris-setosa
102,0.03,0.07,,boundary,Iris-setosa
103,0.03,0.14,,boundary,Iris-setosa
104,0.03,0.21,,boundary,Iris-setosa
105,0.03,0.28,,boundary,Iris-setosa
106,0.03,0.35,,boundary,Iris-setosa
107,0.03,0.41,,boundary,Iris-setosa
108,0.03,0.48,,boundary,Iris-setosa
109,0.03,0.55,,boundary,Iris-setosa
110,0.03,0.62,,boundary,Iris-setosa
111,0.03,0.69,,boundary,Iris-setosa
112,0.03,0.76,,boundary,Iris-setosa
113,0.03,0.83,,boundary,Iris-setosa
114,0.03,0.9,,boundary,Iris-setosa
115,0.03,0.97,,boundary,Iris-setosa
116,0.03,1.03,,boundary,Iris-setosa
117,0.03,1.1,,boundary,Iris-setosa
118,0.03,1.17,,boundary,Iris-setosa
119,0.03,1.24,,boundary,Iris-setosa
120,0.03,1.31,,boundary,Iris-setosa
121,0.03,1.38,,boundary,Iris-setosa
122,0.03,1.45,,boundary,Iris-setosa
123,0.03,1.52,,boundary,Iris-setosa
124,0.03,1.59,,boundary,Iris-setosa
125,0.03,1.66,,boundary,Iris-setosa
126,0.03,1.72,,boundary,Iris-setosa
127,0.03,1.79,,boundary,Iris-setosa
128,0.03,1.86,,boundary,Iris-setosa
129,0.03,1.93,,boundary,Iris-setosa
130,0.03,2.0,,boundary,Iris-setosa
131,0.03,2.07,,boundary,Iris-setosa
132,0.03,2.14,,boundary,Iris-setosa
133,0.03,2.21,,boundary,Iris-setosa
134,0.03,2.28,,boundary,Iris-setosa
135,0.03,2.35,,boundary,Iris-setosa
136,0.03,2.41,,boundary,Iris-setosa
137,0.03,2.48,,boundary,Iris-setosa
138,0.03,2.55,,boundary,Iris-setosa
139,0.03,2.62,,boundary,Iris-setosa
140,0.03,2.69,,boundary,Iris-setosa
141,0.03,2.76,,boundary,Iris-setosa
142,0.03,2.83,,boundary,Iris-setosa
143,0.03,2.9,,boundary,Iris-setosa
144,0.03,2.97,,boundary,Iris-versicolor
145,0.03,3.04,,boundary,Iris-versicolor
146,0.03,3.1,,boundary,Iris-versicolor
147,0.03,3.17,,boundary,Iris-versicolor
148,0.03,3.24,,boundary,Iris-versicolor
149,0.03,3.31,,boundary,Iris-versicolor
150,0.03,3.38,,boundary,Iris-versicolor
151,0.03,3.45,,boundary,Iris-versicolor
152,0.03,3.52,,boundary,Iris-versicolor
153,0.03,3.59,,boundary,Iris-versicolor
154,0.03,3.66,,boundary,Iris-versicolor
155,0.03,3.73,,boundary,Iris-versicolor
156,0.03,3.79,,boundary,Iris-versicolor
157,0.03,3.86,,boundary,Iris-versicolor
158,0.03,3.93,,boundary,Iris-versicolor
159,0.03,4.0,,boundary,Iris-versicolor
160,0.03,4.07,,boundary,Iris-versicolor
161,0.03,4.14,,boundary,Iris-versicolor
162,0.03,4.21,,boundary,Iris-versicolor
163,0.03,4.28,,boundary,Iris-versicolor
164,0.03,4.35,,boundary,Iris-versicolor
165,0.03,4.42,,boundary,Iris-versicolor
166,0.03,4.48,,boundary,Iris-versicolor
167,0.03,4.55,,boundary,Iris-versicolor
168,0.03,4.62,,boundary,Iris-versicolor
169,0.03,4.69,,boundary,Iris-versicolor
170,0.03,4.76,,boundary,Iris-versicolor
171,0.03,4.83,,boundary,Iris-versicolor
172,0.03,4.9,,boundary,Iris-versicolor
173,0.03,4.97,,boundary,Iris-versicolor
174,0.03,5.04,,boundary,Iris-versicolor
175,0.03,5.11,,boundary,Iris-versicolor
176,0.03,5.17,,boundary,Iris-versicolor
177,0.03,5.24,,boundary,Iris-versicolor
178,0.03,5.31,,boundary,Iris-versicolor
179,0.03,5.38,,boundary,Iris-versicolor
180,0.03,5.45,,boundary,Iris-versicolor
181,0.03,5.52,,boundary,Iris-versicolor
182,0.03,5.59,,boundary,Iris-versicolor
183,0.03,5.66,,boundary,Iris-versicolor
184,0.03,5.73,,boundary,Iris-versicolor
185,0.03,5.8,,boundary,Iris-versicolor
186,0.03,5.86,,boundary,Iris-virginica
187,0.03,5.93,,boundary,Iris-virginica
188,0.03,6.0,,boundary,Iris-virginica
189,0.03,6.07,,boundary,Iris-virginica
190,0.03,6.14,,boundary,Iris-virginica
191,0.03,6.21,,boundary,Iris-virginica
192,0.03,6.28,,boundary,Iris-virginica
193,0.03,6.35,,boundary,Iris-virginica
194,0.03,6.42,,boundary,Iris-virginica
195,0.03,6.49,,boundary,Iris-virginica
196,0.03,6.55,,boundary,Iris-virginica
197,0.03,6.62,,boundary,Iris-virginica
198,0.03,6.69,,boundary,Iris-virginica
199,0.03,6.76,,boundary,Iris-virginica
200,0.03,6.83,,boundary,Iris-virginica
201,0.03,6.9,,boundary,Iris-virginica
202,0.05,0.0,,boundary,Iris-setosa
203,0.05,0.07,,boundary,Iris-setosa
204,0.05,0.14,,boundary,Iris-setosa
205,0.05,0.21,,boundary,Iris-setosa
206,0.05,0.28,,boundary,Iris-setosa
207,0.05,0.35,,boundary,Iris-setosa
208,0.05,0.41,,boundary,Iris-setosa
209,0.05,0.48,,boundary,Iris-setosa
210,0.05,0.55,,boundary,Iris-setosa
211,0.05,0.62,,boundary,Iris-setosa
212,0.05,0.69,,boundary,Iris-setosa
213,0.05,0.76,,boundary,Iris-setosa
214,0.05,0.83,,boundary,Iris-setosa
215,0.05,0.9,,boundary,Iris-setosa
216,0.05,0.97,,boundary,Iris-setosa
217,0.05,1.03,,boundary,Iris-setosa
218,0.05,1.1,,boundary,Iris-setosa
219,0.05,1.17,,boundary,Iris-setosa
220,0.05,1.24,,boundary,Iris-setosa
221,0.05,1.31,,boundary,Iris-setosa
222,0.05,1.38,,boundary,Iris-setosa
223,0.05,1.45,,boundary,Iris-setosa
224,0.05,1.52,,boundary,Iris-setosa
225,0.05,1.59,,boundary,Iris-setosa
226,0.05,1.66,,boundary,Iris-setosa
227,0.05,1.72,,boundary,Iris-setosa
228,0.05,1.79,,boundary,Iris-setosa
229,0.05,1.86,,boundary,Iris-setosa
230,0.05,1.93,,boundary,Iris-setosa
231,0.05,2.0,,boundary,Iris-setosa
232,0.05,2.07,,boundary,Iris-setosa
233,0.05,2.14,,boundary,Iris-setosa
234,0.05,2.21,,boundary,Iris-setosa
235,0.05,2.28,,boundary,Iris-setosa
236,0.05,2.35,,boundary,Iris-setosa
237,0.05,2.41,,boundary,Iris-setosa
238,0.05,2.48,,boundary,Iris-setosa
239,0.05,2.55,,boundary,Iris-setosa
240,0.05,2.62,,boundary,Iris-setosa
241,0.05,2.69,,boundary,Iris-setosa
242,0.05,2.76,,boundary,Iris-setosa
243,0.05,2.83,,boundary,Iris-setosa
244,0.05,2.9,,boundary,Iris-setosa
245,0.05,2.97,,boundary,Iris-versicolor
246,0.05,3.04,,boundary,Iris-versicolor
247,0.05,3.1,,boundary,Iris-versicolor
248,0.05,3.17,,boundary,Iris-versicolor
249,0.05,3.24,,boundary,Iris-versicolor
250,0.05,3.31,,boundary,Iris-versicolor
251,0.05,3.38,,boundary,Iris-versicolor
252,0.05,3.45,,boundary,Iris-versicolor
253,0.05,3.52,,boundary,Iris-versicolor
254,0.05,3.59,,boundary,Iris-versicolor
255,0.05,3.66,,boundary,Iris-versicolor
256,0.05,3.73,,boundary,Iris-versicolor
257,0.05,3.79,,boundary,Iris-versicolor
258,0.05,3.86,,boundary,Iris-versicolor
259,0.05,3.93,,boundary,Iris-versicolor
260,0.05,4.0,,boundary,Iris-versicolor
261,0.05,4.07,,boundary,Iris-versicolor
262,0.05,4.14,,boundary,Iris-versicolor
263,0.05,4.21,,boundary,Iris-versicolor
264,0.05,4.28,,boundary,Iris-versicolor
265,0.05,4.35,,boundary,Iris-versicolor
266,0.05,4.42,,boundary,Iris-versicolor
267,0.05,4.48,,boundary,Iris-versicolor
268,0.05,4.55,,boundary,Iris-versicolor
269,0.05,4.62,,boundary,Iris-versicolor
270,0.05,4.69,,boundary,Iris-versicolor
271,0.05,4.76,,boundary,Iris-versicolor
272,0.05,4.83,,boundary,Iris-versicolor
273,0.05,4.9,,boundary,Iris-versicolor
274,0.05,4.97,,boundary,Iris-versicolor
275,0.05,5.04,,boundary,Iris-versicolor
276,0.05,5.11,,boundary,Iris-versicolor
277,0.05,5.17,,boundary,Iris-versicolor
278,0.05,5.24,,boundary,Iris-versicolor
279,0.05,5.31,,boundary,Iris-versicolor
280,0.05,5.38,,boundary,Iris-versicolor
281,0.05,5.45,,boundary,Iris-versicolor
282,0.05,5.52,,boundary,Iris-versicolor
283,0.05,5.59,,boundary,Iris-versicolor
284,0.05,5.66,,boundary,Iris-versicolor
285,0.05,5.73,,boundary,Iris-versicolor
286,0.05,5.8,,boundary,Iris-versicolor
287,0.05,5.86,,boundary,Iris-virginica
288,0.05,5.93,,boundary,Iris-virginica
289,0.05,6.0,,boundary,Iris-virginica
290,0.05,6.07,,boundary,Iris-virginica
291,0.05,6.14,,boundary,Iris-virginica
292,0.05,6.21,,boundary,Iris-virginica
293,0.05,6.28,,boundary,Iris-virginica
294,0.05,6.35,,boundary,Iris-virginica
295,0.05,6.42,,boundary,Iris-virginica
296,0.05,6.49,,boundary,Iris-virginica
297,0.05,6.55,,boundary,Iris-virginica
298,0.05,6.62,,boundary,Iris-virginica
299,0.05,6.69,,boundary,Iris-virginica
300,0.05,6.76,,boundary,Iris-virginica
301,0.05,6.83,,boundary,Iris-virginica
302,0.05,6.9,,boundary,Iris-virginica
303,0.08,0.0,,boundary,Iris-setosa
304,0.08,0.07,,boundary,Iris-setosa
305,0.08,0.14,,boundary,Iris-setosa
306,0.08,0.21,,boundary,Iris-setosa
307,0.08,0.28,,boundary,Iris-setosa
308,0.08,0.35,,boundary,Iris-setosa
309,0.08,0.41,,boundary,Iris-setosa
310,0.08,0.48,,boundary,Iris-setosa
311,0.08,0.55,,boundary,Iris-setosa
312,0.08,0.62,,boundary,Iris-setosa
313,0.08,0.69,,boundary,Iris-setosa
314,0.08,0.76,,boundary,Iris-setosa
315,0.08,0.83,,boundary,Iris-setosa
316,0.08,0.9,,boundary,Iris-setosa
317,0.08,0.97,,boundary,Iris-setosa
318,0.08,1.03,,boundary,Iris-setosa
319,0.08,1.1,,boundary,Iris-setosa
320,0.08,1.17,,boundary,Iris-setosa
321,0.08,1.24,,boundary,Iris-setosa
322,0.08,1.31,,boundary,Iris-setosa
323,0.08,1.38,,boundary,Iris-setosa
324,0.08,1.45,,boundary,Iris-setosa
325,0.08,1.52,,boundary,Iris-setosa
326,0.08,1.59,,boundary,Iris-setosa
327,0.08,1.66,,boundary,Iris-setosa
328,0.08,1.72,,boundary,Iris-setosa
329,0.08,1.79,,boundary,Iris-setosa
330,0.08,1.86,,boundary,Iris-setosa
331,0.08,1.93,,boundary,Iris-setosa
332,0.08,2.0,,boundary,Iris-setosa
333,0.08,2.07,,boundary,Iris-setosa
334,0.08,2.14,,boundary,Iris-setosa
335,0.08,2.21,,boundary,Iris-setosa
336,0.08,2.28,,boundary,Iris-setosa
337,0.08,2.35,,boundary,Iris-setosa
338,0.08,2.41,,boundary,Iris-setosa
339,0.08,2.48,,boundary,Iris-setosa
340,0.08,2.55,,boundary,Iris-setosa
341,0.08,2.62,,boundary,Iris-setosa
342,0.08,2.69,,boundary,Iris-setosa
343,0.08,2.76,,boundary,Iris-setosa
344,0.08,2.83,,boundary,Iris-setosa
345,0.08,2.9,,boundary,Iris-setosa
346,0.08,2.97,,boundary,Iris-versicolor
347,0.08,3.04,,boundary,Iris-versicolor
348,0.08,3.1,,boundary,Iris-versicolor
349,0.08,3.17,,boundary,Iris-versicolor
350,0.08,3.24,,boundary,Iris-versicolor
351,0.08,3.31,,boundary,Iris-versicolor
352,0.08,3.38,,boundary,Iris-versicolor
353,0.08,3.45,,boundary,Iris-versicolor
354,0.08,3.52,,boundary,Iris-versicolor
355,0.08,3.59,,boundary,Iris-versicolor
356,0.08,3.66,,boundary,Iris-versicolor
357,0.08,3.73,,boundary,Iris-versicolor
358,0.08,3.79,,boundary,Iris-versicolor
359,0.08,3.86,,boundary,Iris-versicolor
360,0.08,3.93,,boundary,Iris-versicolor
361,0.08,4.0,,boundary,Iris-versicolor
362,0.08,4.07,,boundary,Iris-versicolor
363,0.08,4.14,,boundary,Iris-versicolor
364,0.08,4.21,,boundary,Iris-versicolor
365,0.08,4.28,,boundary,Iris-versicolor
366,0.08,4.35,,boundary,Iris-versicolor
367,0.08,4.42,,boundary,Iris-versicolor
368,0.08,4.48,,boundary,Iris-versicolor
369,0.08,4.55,,boundary,Iris-versicolor
370,0.08,4.62,,boundary,Iris-versicolor
371,0.08,4.69,,boundary,Iris-versicolor
372,0.08,4.76,,boundary,Iris-versicolor
373,0.08,4.83,,boundary,Iris-versicolor
374,0.08,4.9,,boundary,Iris-versicolor
375,0.08,4.97,,boundary,Iris-versicolor
376,0.08,5.04,,boundary,Iris-versicolor
377,0.08,5.11,,boundary,Iris-versicolor
378,0.08,5.17,,boundary,Iris-versicolor
379,0.08,5.24,,boundary,Iris-versicolor
380,0.08,5.31,,boundary,Iris-versicolor
381,0.08,5.38,,boundary,Iris-versicolor
382,0.08,5.45,,boundary,Iris-versicolor
383,0.08,5.52,,boundary,Iris-versicolor
384,0.08,5.59,,boundary,Iris-versicolor
385,0.08,5.66,,boundary,Iris-versicolor
386,0.08,5.73,,boundary,Iris-versicolor
387,0.08,5.8,,boundary,Iris-versicolor
388,0.08,5.86,,boundary,Iris-virginica
389,0.08,5.93,,boundary,Iris-virginica
390,0.08,6.0,,boundary,Iris-virginica
391,0.08,6.07,,boundary,Iris-virginica
392,0.08,6.14,,boundary,Iris-virginica
393,0.08,6.21,,boundary,Iris-virginica
394,0.08,6.28,,boundary,Iris-virginica
395,0.08,6.35,,boundary,Iris-virginica
396,0.08,6.42,,boundary,Iris-virginica
397,0.08,6.49,,boundary,Iris-virginica
398,0.08,6.55,,boundary,Iris-virginica
399,0.08,6.62,,boundary,Iris-virginica
400,0.08,6.69,,boundary,Iris-virginica
401,0.08,6.76,,boundary,Iris-virginica
402,0.08,6.83,,boundary,Iris-virginica
403,0.08,6.9,,boundary,Iris-virginica
404,0.1,0.0,,boundary,Iris-setosa
405,0.1,0.07,,boundary,Iris-setosa
406,0.1,0.14,,boundary,Iris-setosa
407,0.1,0.21,,boundary,Iris-setosa
408,0.1,0.28,,boundary,Iris-setosa
409,0.1,0.35,,boundary,Iris-setosa
410,0.1,0.41,,boundary,Iris-setosa
411,0.1,0.48,,boundary,Iris-setosa
412,0.1,0.55,,boundary,Iris-setosa
413,0.1,0.62,,boundary,Iris-setosa
414,0.1,0.69,,boundary,Iris-setosa
415,0.1,0.76,,boundary,Iris-setosa
416,0.1,0.83,,boundary,Iris-setosa
417,0.1,0.9,,boundary,Iris-setosa
418,0.1,0.97,,boundary,Iris-setosa
419,0.1,1.03,,boundary,Iris-setosa
420,0.1,1.1,,boundary,Iris-setosa
421,0.1,1.17,,boundary,Iris-setosa
422,0.1,1.24,,boundary,Iris-setosa
423,0.1,1.31,,boundary,Iris-setosa
424,0.1,1.38,,boundary,Iris-setosa
425,0.1,1.45,,boundary,Iris-setosa
426,0.1,1.52,,boundary,Iris-setosa
427,0.1,1.59,,boundary,Iris-setosa
428,0.1,1.66,,boundary,Iris-setosa
429,0.1,1.72,,boundary,Iris-setosa
430,0.1,1.79,,boundary,Iris-setosa
431,0.1,1.86,,boundary,Iris-setosa
432,0.1,1.93,,boundary,Iris-setosa
433,0.1,2.0,,boundary,Iris-setosa
434,0.1,2.07,,boundary,Iris-setosa
435,0.1,2.14,,boundary,Iris-setosa
436,0.1,2.21,,boundary,Iris-setosa
437,0.1,2.28,,boundary,Iris-setosa
438,0.1,2.35,,boundary,Iris-setosa
439,0.1,2.41,,boundary,Iris-setosa
440,0.1,2.48,,boundary,Iris-setosa
441,0.1,2.55,,boundary,Iris-setosa
442,0.1,2.62,,boundary,Iris-setosa
443,0.1,2.69,,boundary,Iris-setosa
444,0.1,2.76,,boundary,Iris-setosa
445,0.1,2.83,,boundary,Iris-setosa
446,0.1,2.9,,boundary,Iris-setosa
447,0.1,2.97,,boundary,Iris-versicolor
448,0.1,3.04,,boundary,Iris-versicolor
449,0.1,3.1,,boundary,Iris-versicolor
450,0.1,3.17,,boundary,Iris-versicolor
451,0.1,3.24,,boundary,Iris-versicolor
452,0.1,3.31,,boundary,Iris-versicolor
453,0.1,3.38,,boundary,Iris-versicolor
454,0.1,3.45,,boundary,Iris-versicolor
455,0.1,3.52,,boundary,Iris-versicolor
456,0.1,3.59,,boundary,Iris-versicolor
457,0.1,3.66,,boundary,Iris-versicolor
458,0.1,3.73,,boundary,Iris-versicolor
459,0.1,3.79,,boundary,Iris-versicolor
460,0.1,3.86,,boundary,Iris-versicolor
461,0.1,3.93,,boundary,Iris-versicolor
462,0.1,4.0,,boundary,Iris-versicolor
463,0.1,4.07,,boundary,Iris-versicolor
464,0.1,4.14,,boundary,Iris-versicolor
465,0.1,4.21,,boundary,Iris-versicolor
466,0.1,4.28,,boundary,Iris-versicolor
467,0.1,4.35,,boundary,Iris-versicolor
468,0.1,4.42,,boundary,Iris-versicolor
469,0.1,4.48,,boundary,Iris-versicolor
470,0.1,4.55,,boundary,Iris-versicolor
471,0.1,4.62,,boundary,Iris-versicolor
472,0.1,4.69,,boundary,Iris-versicolor
473,0.1,4.76,,boundary,Iris-versicolor
474,0.1,4.83,,boundary,Iris-versicolor
475,0.1,4.9,,boundary,Iris-versicolor
476,0.1,4.97,,boundary,Iris-versicolor
477,0.1,5.04,,boundary,Iris-versicolor
478,0.1,5.11,,boundary,Iris-versicolor
479,0.1,5.17,,boundary,Iris-versicolor
480,0.1,5.24,,boundary,Iris-versicolor
481,0.1,5.31,,boundary,Iris-versicolor
482,0.1,5.38,,boundary,Iris-versicolor
483,0.1,5.45,,boundary,Iris-versicolor
484,0.1,5.52,,boundary,Iris-versicolor
485,0.1,5.59,,boundary,Iris-versicolor
486,0.1,5.66,,boundary,Iris-versicolor
487,0.1,5.73,,boundary,Iris-versicolor
488,0.1,5.8,,boundary,Iris-versicolor
489,0.1,5.86,,boundary,Iris-virginica
490,0.1,5.93,,boundary,Iris-virginica
491,0.1,6.0,,boundary,Iris-virginica
492,0.1,6.07,,boundary,Iris-virginica
493,0.1,6.14,,boundary,Iris-virginica
494,0.1,6.21,,boundary,Iris-virginica
495,0.1,6.28,,boundary,Iris-virginica
496,0.1,6.35,,boundary,Iris-virginica
497,0.1,6.42,,boundary,Iris-virginica
498,0.1,6.49,,boundary,Iris-virginica
499,0.1,6.55,,boundary,Iris-virginica
500,0.1,6.62,,boundary,Iris-virginica
501,0.1,6.69,,boundary,Iris-virginica
502,0.1,6.76,,boundary,Iris-virginica
503,0.1,6.83,,boundary,Iris-virginica
504,0.1,6.9,,boundary,Iris-virginica
505,0.12,0.0,,boundary,Iris-setosa
506,0.12,0.07,,boundary,Iris-setosa
507,0.12,0.14,,boundary,Iris-setosa
508,0.12,0.21,,boundary,Iris-setosa
509,0.12,0.28,,boundary,Iris-setosa
510,0.12,0.35,,boundary,Iris-setosa
511,0.12,0.41,,boundary,Iris-setosa
512,0.12,0.48,,boundary,Iris-setosa
513,0.12,0.55,,boundary,Iris-setosa
514,0.12,0.62,,boundary,Iris-setosa
515,0.12,0.69,,boundary,Iris-setosa
516,0.12,0.76,,boundary,Iris-setosa
517,0.12,0.83,,boundary,Iris-setosa
518,0.12,0.9,,boundary,Iris-setosa
519,0.12,0.97,,boundary,Iris-setosa
520,0.12,1.03,,boundary,Iris-setosa
521,0.12,1.1,,boundary,Iris-setosa
522,0.12,1.17,,boundary,Iris-setosa
523,0.12,1.24,,boundary,Iris-setosa
524,0.12,1.31,,boundary,Iris-setosa
525,0.12,1.38,,boundary,Iris-setosa
526,0.12,1.45,,boundary,Iris-setosa
527,0.12,1.52,,boundary,Iris-setosa
528,0.12,1.59,,boundary,Iris-setosa
529,0.12,1.66,,boundary,Iris-setosa
530,0.12,1.72,,boundary,Iris-setosa
531,0.12,1.79,,boundary,Iris-setosa
532,0.12,1.86,,boundary,Iris-setosa
533,0.12,1.93,,boundary,Iris-setosa
534,0.12,2.0,,boundary,Iris-setosa
535,0.12,2.07,,boundary,Iris-setosa
536,0.12,2.14,,boundary,Iris-setosa
537,0.12,2.21,,boundary,Iris-setosa
538,0.12,2.28,,boundary,Iris-setosa
539,0.12,2.35,,boundary,Iris-setosa
540,0.12,2.41,,boundary,Iris-setosa
541,0.12,2.48,,boundary,Iris-setosa
542,0.12,2.55,,boundary,Iris-setosa
543,0.12,2.62,,boundary,Iris-setosa
544,0.12,2.69,,boundary,Iris-setosa
545,0.12,2.76,,boundary,Iris-setosa
546,0.12,2.83,,boundary,Iris-setosa
547,0.12,2.9,,boundary,Iris-setosa
548,0.12,2.97,,boundary,Iris-versicolor
549,0.12,3.04,,boundary,Iris-versicolor
550,0.12,3.1,,boundary,Iris-versicolor
551,0.12,3.17,,boundary,Iris-versicolor
552,0.12,3.24,,boundary,Iris-versicolor
553,0.12,3.31,,boundary,Iris-versicolor
554,0.12,3.38,,boundary,Iris-versicolor
555,0.12,3.45,,boundary,Iris-versicolor
556,0.12,3.52,,boundary,Iris-versicolor
557,0.12,3.59,,boundary,Iris-versicolor
558,0.12,3.66,,boundary,Iris-versicolor
559,0.12,3.73,,boundary,Iris-versicolor
560,0.12,3.79,,boundary,Iris-versicolor
561,0.12,3.86,,boundary,Iris-versicolor
562,0.12,3.93,,boundary,Iris-versicolor
563,0.12,4.0,,boundary,Iris-versicolor
564,0.12,4.07,,boundary,Iris-versicolor
565,0.12,4.14,,boundary,Iris-versicolor
566,0.12,4.21,,boundary,Iris-versicolor
567,0.12,4.28,,boundary,Iris-versicolor
568,0.12,4.35,,boundary,Iris-versicolor
569,0.12,4.42,,boundary,Iris-versicolor
570,0.12,4.48,,boundary,Iris-versicolor
571,0.12,4.55,,boundary,Iris-versicolor
572,0.12,4.62,,boundary,Iris-versicolor
573,0.12,4.69,,boundary,Iris-versicolor
574,0.12,4.76,,boundary,Iris-versicolor
575,0.12,4.83,,boundary,Iris-versicolor
576,0.12,4.9,,boundary,Iris-versicolor
577,0.12,4.97,,boundary,Iris-versicolor
578,0.12,5.04,,boundary,Iris-versicolor
579,0.12,5.11,,boundary,Iris-versicolor
580,0.12,5.17,,boundary,Iris-versicolor
581,0.12,5.24,,boundary,Iris-versicolor
582,0.12,5.31,,boundary,Iris-versicolor
583,0.12,5.38,,boundary,Iris-versicolor
584,0.12,5.45,,boundary,Iris-versicolor
585,0.12,5.52,,boundary,Iris-versicolor
586,0.12,5.59,,boundary,Iris-versicolor
587,0.12,5.66,,boundary,Iris-versicolor
588,0.12,5.73,,boundary,Iris-versicolor
589,0.12,5.8,,boundary,Iris-versicolor
590,0.12,5.86,,boundary,Iris-virginica
591,0.12,5.93,,boundary,Iris-virginica
592,0.12,6.0,,boundary,Iris-virginica
593,0.12,6.07,,boundary,Iris-virginica
594,0.12,6.14,,boundary,Iris-virginica
595,0.12,6.21,,boundary,Iris-virginica
